Gentiana pneumonanthe.jpg | Debnicko-Tyniecki obszar lakowy | Gentiana pneumonanthe | Erigeron ramosus | Anthyllis vulneraria | Stellaria palustris | Cichorium intybus
Iris sibirica.jpg | Debnicko-Tyniecki obszar lakowy | Iris sibirica | Prunella grandiflora | Geranium palustre | Melilotus albus | Anthyllis vulneraria
Trollius europaeus.jpg | Debnicko-Tyniecki obszar lakowy | Trollius europaeus | Veronica chamaedrys | Lathyrus palustris | Campanula rapunculoides | Carduus acanthoides
Gladiolus imbricatus.jpg | Debnicko-Tyniecki obszar lakowy | Gladiolus imbricatus | Galium palustre | Anthoxanthum odoratum | Verbascum nigrum | Cyperus flavescens
Dactylorhiza majalis.jpg | Debnicko-Tyniecki obszar lakowy | Dactylorhiza majalis | Peucedanum palustre | Campanula glomerata | Lotus corniculatus | Verbascum nigrum
Sanguisorba officinalis.jpg | Debnicko-Tyniecki obszar lakowy | Sanguisorba officinalis | Veronica persica | Equisetum arvense | Barbarea vulgaris | Urtica dioica
Phragmites australis.jpg | Debnicko-Tyniecki obszar lakowy | Phragmites australis | Sinapis arvensis | Cuscuta epithymum | Stachys palustris | Scorzonera humilis
Equisetum arvense.jpg | Debnicko-Tyniecki obszar lakowy | Equisetum arvense | Saponaria officinalis | Centaurea jacea | Lemna minor | Lathyrus pratensis
Equisetum palustre.jpg | Debnicko-Tyniecki obszar lakowy | Equisetum palustre | Lathyrus pratensis | Bidens tripartita | Lolium perenne | Valeriana simplicifolia
Picea abies.jpg | Debnicko-Tyniecki obszar lakowy | Picea abies | Linum catharticum | Erophila verna | Scirpus sylvaticus | Anemone nemorosa
Larix decidua.jpg | Debnicko-Tyniecki obszar lakowy | Larix decidua | Inula salicina | Cardamine amara | Ranunculus auricomus | Gagea pratensis
Pinus sylvestris.jpg | Debnicko-Tyniecki obszar lakowy | Pinus sylvestris | Callitriche cophocarpa | Poa palustris | Poa annua | Juncus bufonius
Betula pendula.jpg | Debnicko-Tyniecki obszar lakowy | Betula pendula | Sedum maximum | Cirsium arvense | Carex hostiana | Galium boreale
Carpinus betulus.jpg | Debnicko-Tyniecki obszar lakowy | Carpinus betulus | Scirpus sylvaticus | Sagina nodosa | Sium latifolium | Trifolium hybridum
Alnus incana.jpg | Debnicko-Tyniecki obszar lakowy | Alnus incana | Rhinanthus minor | Epilobium palustre | Anthoxanthum odoratum | Lemna gibba
Alnus glutinosa.jpg | Debnicko-Tyniecki obszar lakowy | Alnus glutinosa | Carduus acanthoides | Laserpitium prutenicum | Cirsium oleraceum | Laserpitium prutenicum
Quercus robur.jpg | Debnicko-Tyniecki obszar lakowy | Quercus robur | Eriophorum latifolium | Blysmus compressus | Pedicularis palustris | Carex acutiformis
Quercus rubra.jpg | Debnicko-Tyniecki obszar lakowy | Quercus rubra | Fraxinus excelsior | Carex pseudocyperus | Stachys palustris | Acer negundo
Fagus sylvatica.jpg | Debnicko-Tyniecki obszar lakowy | Fagus sylvatica | Ranunculus sceleratus | Betula pendula | Juncus articulatus | Convolvulus arvensis
Populus tremula.jpg | Debnicko-Tyniecki obszar lakowy | Populus tremula | Crataegus monogyna | Carex acutiformis | Helianthus tuberosus | Phyteuma orbiculare
Populus balsamifera.jpg | Debnicko-Tyniecki obszar lakowy | Populus balsamifera | Fraxinus excelsior | Stachys palustris | Primula elatior | Leonurus cardiaca
Populus nigra.jpg | Debnicko-Tyniecki obszar lakowy | Populus nigra | Sedum maximum | Agrimonia eupatoria | Rubus idaeus | Vaccinium myrtillus
Salix pentandra.jpg | Debnicko-Tyniecki obszar lakowy | Salix pentandra | Falcaria vulgaris | Melilotus officinalis | Primula elatior | Alisma plantago-aquatica
Salix fragilis.jpg | Debnicko-Tyniecki obszar lakowy | Salix fragilis | Ficaria verna | Tanacetum vulgare | Lathyrus tuberosus | Alchemilla glabra
Salix cinerea.jpg | Debnicko-Tyniecki obszar lakowy | Salix cinerea | Juncus bufonius | Dactylorhiza majalis | Carex elongata | Eriophorum angustifolium
Salix caprea.jpg | Debnicko-Tyniecki obszar lakowy | Salix caprea | Ranunculus auricomus | Anthoxanthum odoratum | Pimpinella major | Stachys palustris
Salix aurita.jpg | Debnicko-Tyniecki obszar lakowy | Salix aurita | Veronica longifolia | Carex elongata | Atriplex patula | Anthemis arvensis
Salix viminalis.jpg | Debnicko-Tyniecki obszar lakowy | Salix viminalis | Symphytum officinale | Rorippa amphibia | Galium mollugo | Prunus spinosa
Salix purpurea.jpg | Debnicko-Tyniecki obszar lakowy | Salix purpurea | Alnus glutinosa | Carex hirta | Euphorbia palustris | Serratula tinctoria
